gene_id,cell_type,log2FC,pval,padj,score
MRPS30,Vascular_cell,0.44557366,0.49896229860376107,0.9849978674961947,0.6761234
ZNF23,Vascular_cell,1.6165557,0.49896229860376107,0.9849978674961947,0.6761234
NOL4L,Vascular_cell,0.5726069,0.49896229860376107,0.9849978674961947,0.6761234
ENSG00000213062,Vascular_cell,1.6936419,0.49896229860376107,0.9849978674961947,0.6761234
TPD52L2,Vascular_cell,0.6843779,0.49896229860376107,0.9849978674961947,0.6761234
ZNF501,Vascular_cell,2.167187,0.49896229860376107,0.9849978674961947,0.6761234
DCAF11,Vascular_cell,0.56318235,0.49896229860376107,0.9849978674961947,0.6761234
PTCH1,Vascular_cell,1.2080314,0.49896229860376107,0.9849978674961947,0.6761234
KLHL21,Vascular_cell,1.2361711,0.49896229860376107,0.9849978674961947,0.6761234
ZMYM4,Vascular_cell,0.66472274,0.49896229860376107,0.9849978674961947,0.6761234
ACADM,Vascular_cell,0.91439945,0.49896229860376107,0.9849978674961947,0.6761234
PNMA2,Vascular_cell,1.4831904,0.49896229860376107,0.9849978674961947,0.6761234
MTIF2,Vascular_cell,2.478432,0.49896229860376107,0.9849978674961947,0.6761234
ACOX3,Vascular_cell,0.670443,0.49896229860376107,0.9849978674961947,0.6761234
COL11A1,Vascular_cell,0.7958375,0.49896229860376107,0.9849978674961947,0.6761234
EMILIN1,Vascular_cell,1.974051,0.49896229860376107,0.9849978674961947,0.6761234
RSAD2,Vascular_cell,0.34677997,0.49896229860376107,0.9849978674961947,0.6761234
NHLRC2,Vascular_cell,0.5395842,0.49896229860376107,0.9849978674961947,0.6761234
NLRC5,Vascular_cell,1.4438931,0.49896229860376107,0.9849978674961947,0.6761234
MESD,Vascular_cell,0.77636397,0.49896229860376107,0.9849978674961947,0.6761234
ZNF133,Vascular_cell,0.7788664,0.49896229860376107,0.9849978674961947,0.6761234
MT1X,Vascular_cell,1.829912,0.49896229860376107,0.9849978674961947,0.6761234
EIF3I,Vascular_cell,1.2389859,0.49896229860376107,0.9849978674961947,0.6761234
GMFB,Vascular_cell,0.78057224,0.49896229860376107,0.9849978674961947,0.6761234
TTC12,Vascular_cell,1.0112212,0.49896229860376107,0.9849978674961947,0.6761234
C17orf80,Vascular_cell,1.0318664,0.49896229860376107,0.9849978674961947,0.6761234
RGL2,Vascular_cell,1.524342,0.49896229860376107,0.9849978674961947,0.6761234
INPP5K,Vascular_cell,0.90531373,0.49896229860376107,0.9849978674961947,0.6761234
CTHRC1,Vascular_cell,1.0363413,0.49896229860376107,0.9849978674961947,0.6761234
TIAM2,Vascular_cell,1.0509872,0.49896229860376107,0.9849978674961947,0.6761234
BCR,Vascular_cell,1.2163829,0.49896229860376107,0.9849978674961947,0.6761234
PRKAB1,Vascular_cell,0.77698845,0.49896229860376107,0.9849978674961947,0.6761234
VPS53,Vascular_cell,0.7640133,0.49896229860376107,0.9849978674961947,0.6761234
PSMC6,Vascular_cell,0.5260342,0.49896229860376107,0.9849978674961947,0.6761234
AHSA1,Vascular_cell,1.4298093,0.49896229860376107,0.9849978674961947,0.6761234
